comparator,model,noise,regime,treatment,rep,level,m,u
jw_tf,full,severe,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.7,0.14199349708751888,0.013574480269264931
jw_tf,full,severe,split,abbreviate,1,All other comparisons,0.005217892106976753,0.985263304639344
jw_tf,full,severe,split,abbreviate,2,Exact match on street_name,0.6228767183296724,0.0010440533621084627
jw_tf,full,severe,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.92,0.22651848450210227,0.00045378919949874295
jw_tf,full,severe,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.7,0.14580946227223562,0.01293348954345146
jw_tf,full,severe,split,abbreviate,2,All other comparisons,0.004795334895989598,0.9855686678949414
jw_tf,full,severe,split,expand,0,Exact match on street_name,0.6289508113428577,0.0008397224517849983
jw_tf,full,severe,split,expand,0,Jaro-Winkler distance of street_name >= 0.92,0.21976952644221143,0.00044471537397821833
jw_tf,full,severe,split,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.1437406075365925,0.02667392175955095
jw_tf,full,severe,split,expand,0,All other comparisons,0.0075390546783384235,0.9720416404146859
jw_tf,full,severe,split,expand,1,Exact match on street_name,0.6211879821364119,0.0007592970077857147
jw_tf,full,severe,split,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.22359235633764069,0.00044243652569052224
jw_tf,full,severe,split,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.14971836661050408,0.026163205468273484
jw_tf,full,severe,split,expand,1,All other comparisons,0.0055012949154433265,0.9726350609982503
jw_tf,full,severe,split,expand,2,Exact match on street_name,0.6229154444913698,0.0008277809007584422
jw_tf,full,severe,split,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.2161276693940738,0.00041320276152266886
jw_tf,full,severe,split,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.15464218576274674,0.025239163448119082
jw_tf,full,severe,split,expand,2,All other comparisons,0.006314700351809687,0.9735198528895999
jw_tf,address_heavy,severe,split,none,0,Exact match on street_name,0.09689449039523815,3.9115283408007966e-05
jw_tf,address_heavy,severe,split,none,0,Jaro-Winkler distance of street_name >= 0.92,0.658862401433521,0.0010642703849194895
jw_tf,address_heavy,severe,split,none,0,Jaro-Winkler distance of street_name >= 0.7,0.23410236791794076,0.008111924095432925
jw_tf,address_heavy,severe,split,none,0,All other comparisons,0.010140740253300015,0.9907846902362396
jw_tf,address_heavy,severe,split,none,1,Exact match on street_name,0.09505807027161904,3.599957793598282e-05
jw_tf,address_heavy,severe,split,none,1,Jaro-Winkler distance of street_name >= 0.92,0.6574228702096754,0.001144331411286902
jw_tf,address_heavy,severe,split,none,1,Jaro-Winkler distance of street_name >= 0.7,0.2378653038425394,0.008069491599064012
jw_tf,address_heavy,severe,split,none,1,All other comparisons,0.009653755676166095,0.9907501774117131
jw_tf,address_heavy,severe,split,none,2,Exact match on street_name,0.09657383299368366,3.647003652350045e-05
