scenario,noise_type,sigma,variable,realization,cp_time,delay,is_delay,tau_var_bp,tau_ac_bp,tau_var_cp,tau_ac_cp
MN low,multiplicative,0.05,I,97,84.4,69.90374815310284,True,0.49079936222365,0.3838928154970133,0.7066647628566667,-0.3859317960067584
MN low,multiplicative,0.05,I,98,91.635,77.13874815310284,True,-0.33542942814307125,-0.0073172937340853375,0.8484300706789462,-0.36977987196877743
MN low,multiplicative,0.05,I,99,74.355,59.85874815310284,True,-0.7969224911353845,-0.5316989124485375,0.9274039170890743,0.10564146498179479
MN low,multiplicative,0.05,I,100,88.765,74.26874815310283,True,-0.8548782751481401,-0.49424145070321973,0.921861926179767,0.060142309797482196
MN low,multiplicative,0.05,I,101,89.39,74.89374815310283,True,0.34701030437162367,0.78055924418743,0.8735356131458079,-0.5682730063539657
MN low,multiplicative,0.05,I,102,96.465,81.96874815310284,True,-0.736950572332881,-0.5534575569358177,0.8298203279312724,-0.463447323957069
MN low,multiplicative,0.05,I,103,87.485,72.98874815310283,True,0.40970276766378705,0.552998738725875,0.3711163465886104,-0.48894695509388153
MN low,multiplicative,0.05,I,104,89.65,75.15374815310284,True,0.22380904785702382,0.3962256966754717,0.7383384498227075,-0.002121796244734775
MN low,multiplicative,0.05,I,105,80.85000000000001,66.35374815310284,True,-0.7492244354013469,-0.05322196044834724,0.9835168130220602,0.4025254039646842
MN low,multiplicative,0.05,I,106,80.715,66.21874815310284,True,-0.18202803360224648,0.46321886675709756,0.795487018395564,-0.29043287879869584
MN low,multiplicative,0.05,I,107,84.47500000000001,69.97874815310284,True,0.5338616406082672,0.6140920016182384,0.7230337212346206,-0.7101335046762332
MN low,multiplicative,0.05,I,108,70.23,55.73374815310284,True,-0.53512005901811,-0.33098974322362623,0.8419856738297516,-0.5047580971419051
MN low,multiplicative,0.05,I,109,87.905,73.40874815310283,True,-0.19060660146117414,0.21785202636776846,0.9143894719307012,0.043135575069608044
MN low,multiplicative,0.05,I,110,94.775,80.27874815310284,True,-0.41550177292306223,-0.23038099997620232,0.8155779253230526,0.09654886842293138
MN low,multiplicative,0.05,I,111,82.255,67.75874815310283,True,-0.7507208300611597,-0.022279336522215077,0.7397967682825253,-0.6598481711525188
MN low,multiplicative,0.05,I,112,96.97500000000001,82.47874815310284,True,-0.6375545560553055,-0.37219009542847614,0.8340924775707383,-0.2666333499916708
MN low,multiplicative,0.05,I,113,86.19500000000001,71.69874815310284,True,-0.9128607125008923,-0.711591823136051,0.8400913828799884,0.4645496299469312
MN low,multiplicative,0.05,I,114,94.24,79.74374815310283,True,0.2973189595678351,0.2930791746983651,0.36268056447966485,-0.6971190595178599
MN low,multiplicative,0.05,I,115,99.285,84.78874815310283,True,0.6300916208562385,0.8110849337236142,0.958382713405202,0.4129563789533804
MN low,multiplicative,0.05,I,116,95.89,81.39374815310283,True,0.2780619214202422,0.2753718378905785,0.5352095380880987,-0.1353047285880869
MN low,multiplicative,0.05,I,117,85.205,70.70874815310283,True,0.41501439756312314,0.4014897313248137,0.988422931391447,0.20512505651935933
MN low,multiplicative,0.05,I,118,106.42,91.92374815310284,True,0.594614121510673,-0.1920439780109945,0.7850293900668711,-0.020516408462435444
MN low,multiplicative,0.05,I,119,67.74,53.24374815310283,True,0.30114371385735694,0.3287794198139025,0.9509331048761333,0.41762452107279685
MN low,multiplicative,0.05,I,120,82.885,68.38874815310284,True,-0.6365436329454319,-0.10217653078222791,0.8156540777230431,-0.08680136122414982
MN low,multiplicative,0.05,I,121,85.91,71.41374815310283,True,-0.454343304538207,-0.37232526593845927,0.9531396206658574,0.5590928345351133
MN low,multiplicative,0.05,I,122,95.295,80.79874815310284,True,0.6612246257823468,0.6654567954118178,0.9301035196687369,-0.38738249922657714
MN low,multiplicative,0.05,I,123,120.29,105.79374815310284,True,-0.7592746483900905,-0.21902858094762137,0.8217862497322765,0.32797601199400295
MN low,multiplicative,0.05,I,124,87.17,72.67374815310284,True,-0.12297565502962803,-0.16478903405440135,0.9206491992099187,-0.11788677090026413
