chain	draw	a0	beta	d_home	h0	i0	d_school
0	2360	1.7683	5.5517	2.7607	8.862	7.6027	1.0
0	2365	0.7955	6.9311	3.8559	10.5651	0.9437	1.0
0	2370	1.5303	1.4349	5.886	8.7763	0.1901	1.0
0	2375	3.3604	0.4184	3.917	4.4191	0.1286	1.0
0	2380	3.0544	3.1298	2.353	8.0578	0.53	1.0
0	2385	3.2693	7.4746	4.2286	7.6951	0.1345	1.0
0	2390	2.1972	7.4746	2.3558	2.6167	1.9423	1.0
0	2395	1.3221	4.3785	3.7356	0.6764	3.1669	1.0
0	2400	1.8048	2.6419	2.9028	10.5098	9.327	1.0
0	2405	0.6645	2.744	3.1721	6.6812	6.2384	1.0
0	2410	1.8763	2.5996	2.8307	9.2111	10.3401	1.0
0	2415	1.5425	1.1833	2.6314	6.8204	9.5004	1.0
0	2420	2.7771	1.9645	3.5657	6.6675	7.2527	1.0
0	2425	1.4424	1.425	2.4426	3.1749	1.1382	1.0
0	2430	1.6974	1.2627	5.554	5.2858	0.5753	1.0
0	2435	1.1427	1.52	4.6789	6.1617	0.3936	1.0
0	2440	2.5066	3.3615	3.5266	11.6856	0.2135	1.0
0	2445	1.6377	5.9122	5.1637	0.6182	2.234	1.0
0	2450	0.5687	5.442	4.3419	2.7618	3.4346	1.0
0	2455	0.9398	4.1686	3.3172	6.1563	8.3302	1.0
0	2460	0.9195	2.7134	2.8524	0.5527	9.4241	1.0
0	2465	1.0909	1.1651	4.1504	0.8378	6.4623	1.0
0	2470	1.1632	3.3098	2.4403	0.1067	8.4598	1.0
0	2475	0.542	2.5468	2.938	0.3863	4.5974	1.0
0	2480	1.1741	4.5217	2.1346	0.3423	4.7569	1.0
0	2485	2.1022	3.7153	2.3277	9.58	0.9855	1.0
0	2490	1.2266	2.7647	2.807	3.0978	2.2808	1.0
0	2495	1.436	2.7457	3.1116	1.8187	3.3846	1.0
0	2500	2.6507	1.7686	2.0591	3.5214	1.7434	1.0
0	2505	5.359	1.1165	2.8969	3.5214	1.2991	1.0
0	2510	2.3008	1.1632	3.1769	3.0164	1.7606	1.0
0	2515	2.1215	1.7387	2.8961	4.8787	0.9346	1.0
0	2520	2.2267	1.1804	3.5024	3.277	2.2312	1.0
0	2525	1.6246	1.4796	3.1477	2.8948	6.5212	1.0
0	2530	0.64	2.8456	4.0185	2.2965	6.4553	1.0
0	2535	3.2772	1.9451	2.2589	8.3832	10.8662	1.0
0	2540	2.2061	1.6272	2.1197	6.855	10.8662	1.0
0	2545	1.5837	1.4566	3.1533	10.1826	11.6129	1.0
0	2550	3.2282	0.8375	2.1877	6.6794	1.7768	1.0
0	2555	3.5233	1.7334	2.3244	7.5664	3.3203	1.0
0	2560	2.6861	7.5041	1.9393	11.634	7.1589	1.0
0	2565	1.5095	6.119	2.3518	11.0902	7.1589	1.0
0	2570	1.6106	5.3398	2.6623	11.0902	2.163	1.0
0	2575	1.5068	1.3529	2.5878	5.2442	8.2588	1.0
0	2580	3.421	1.1703	3.5834	5.2442	4.0842	1.0
0	2585	1.9667	0.9911	2.6289	6.2707	2.8091	1.0
0	2590	3.0755	0.1845	2.688	10.5244	6.3927	1.0
0	2595	3.2456	0.3619	3.775	1.3807	6.3927	1.0
0	2600	3.4494	0.9926	2.618	2.1506	3.3458	1.0
0	2605	4.3041	0.9981	2.9351	3.6509	7.6836	1.0
0	2610	2.1548	1.1903	4.1029	1.2951	2.8312	1.0
0	2615	1.986	2.342	2.0563	4.3616	4.2668	1.0
0	2620	1.8114	0.9866	2.9698	3.7338	7.6998	1.0
0	2625	2.1732	0.3934	2.3867	11.7847	9.166	1.0
0	2630	0.9642	2.9205	1.6108	7.4821	9.4961	1.0
0	2635	3.3494	0.5019	3.2227	4.039	11.6344	1.0
0	2640	2.6005	0.3991	2.6372	6.5816	11.6344	1.0
0	2645	3.308	0.6231	3.6601	11.9999	1.063	1.0
