pair,state,n,n_adults,e_adj,e_adj_dur,raw_u_f,raw_u_f_adults,fb_stock
2022->2023,ND,28,26,-0.003389258054389528,0.006370983015638408,0.5700708018582052,0.5674910821485106,37590.8
2022->2023,OH,40,40,-0.008884387819994297,-0.0023322059114030944,0.4421425352944655,0.4421425352944655,587805.95
2022->2023,OK,49,44,0.008870312233891509,0.008553695176950095,0.46220177104587323,0.392096402062917,254517.81
2022->2023,OR,78,74,0.00042767171683205364,0.0029076423840268388,0.39680966007062135,0.40320667060310783,346022.12
2022->2023,PA,113,101,-0.001694530715160915,-0.000550815480387437,0.3458622467187439,0.30697216708189495,984578.93
2022->2023,RI,69,63,0.015912954687442405,0.014914018534120499,0.5182155161921366,0.524637062233959,145236.94
2022->2023,SC,59,54,0.011274743985176671,0.01214584235716695,0.2920906707163054,0.3231814833887253,313660.9700000001
2022->2023,SD,13,13,0.015984067897450296,0.02345092114933289,0.49102325110478484,0.49102325110478484,26387.82
2022->2023,TN,59,51,0.005719724058506021,0.01062887857870643,0.39208317577422613,0.3924445119055533,461961.06
2022->2023,TX,556,538,0.016434450057552164,0.018538386588282208,0.42899670634967385,0.42542807747242517,5217697.27
2022->2023,UT,77,68,0.020266895085631835,0.019609532052407033,0.5625271821178945,0.5449410064893485,272670.89999999997
2022->2023,VT,17,17,-0.01584160908665535,-0.011593498333892345,0.1738922168580025,0.1738922168580025,24041.530000000002
2022->2023,VA,125,124,-0.007176826905452641,-0.00558909525405225,0.35707130724145814,0.3599355997536635,1306205.97
2022->2023,WA,115,111,0.004182411199958483,0.006338881193911446,0.3126907647393318,0.29759241469563524,1075559.42
2022->2023,WV,16,15,0.02160666620186732,0.011734276117701533,0.8001049390052137,0.789502182008265,37740.6
2022->2023,WI,35,35,-0.017802376855123602,-0.012546934235942496,0.3318656801365964,0.3318656801365964,334792.62
2022->2023,WY,9,9,0.025256560521595323,0.022136706776769852,0.7295053123514486,0.7295053123514486,13444.1
2023->2024,AL,26,26,-0.015794834150871614,-0.014880293769979623,0.17963819876538964,0.17963819876538964,146028.99
2023->2024,AK,34,32,0.006071729029815341,0.00448129269609366,0.30809357198214665,0.3324576169016578,48555.36
2023->2024,AZ,131,130,0.006804020284435268,0.011139892966242364,0.2721741750737805,0.2737754731185126,1149997.1099999999
2023->2024,AR,54,47,-0.029560499273547248,-0.02598791015219733,0.47316759344451526,0.5061568102343771,154348.92
2023->2024,CA,1251,1218,-0.0030127660204577406,-0.007872904984088717,0.27832570329965917,0.2752157869650931,10672353.68
2023->2024,CO,54,53,-0.011187200066036275,-0.012232638743821475,0.3490728994916855,0.33036408323870703,535190.11
2023->2024,CT,87,85,0.005787649357627033,-0.0026839477824480112,0.18055922372021943,0.17484901148837814,608627.83
2023->2024,DE,60,60,-0.0038041045419287644,-0.016511616349723337,0.16705791684328158,0.16705791684328158,108200.26999999999
2023->2024,DC,96,92,-0.05903799986710919,-0.05982387315007475,0.5946869584148299,0.5999562367570235,85844.54000000001
2023->2024,FL,509,481,-0.0007815260341695981,-0.0030981308343564725,0.34978514506930075,0.34459747905157573,5105976.82
2023->2024,GA,122,112,-0.013930109845566183,-0.018177866277339992,0.29958464377048166,0.30055299643874644,1324271.74
2023->2024,HI,136,134,0.016429901143215478,0.01232451605851676,0.3246292311132782,0.32738890409688676,218692.55
2023->2024,ID,58,56,-0.020024876740870178,-0.02589056709181208,0.44832932813815074,0.4330776370130281,128663.61
2023->2024,IL,179,176,-0.002177718377823608,-0.004769230080251952,0.37001272612265634,0.35865618224343265,1826260.0
2023->2024,IN,70,66,-0.01810450922748207,-0.019181669149729717,0.48697974102564295,0.45577523476546067,514741.52999999997
2023->2024,IA,50,43,-0.011087315703968764,-0.0219199289685838,0.4129895770348634,0.4287620667634586,170871.73000000004
2023->2024,KS,45,44,-0.009058196540670494,-0.011384786894625925,0.29179790067076367,0.28269829584923084,214041.41
2023->2024,KY,25,23,-0.031759997204162026,-0.018915017282363118,0.5150185092392733,0.5826029440034758,337019.04
2023->2024,LA,55,49,-0.0021178116868090136,-0.008029573376919907,0.31013248337655125,0.3020067260078031,238877.41999999998
2023->2024,ME,11,9,-0.038500320429727064,-0.055048011503748516,0.3810548634424269,0.310230252504113,38261.920000000006
2023->2024,MD,98,90,0.007131818922414898,0.006457387525589616,0.6047043926445985,0.5939654859683362,1096358.04
2023->2024,MA,257,243,-0.01626241387909185,-0.023260684986513316,0.396011088960687,0.38963158029166034,1433406.9900000002
2023->2024,MI,81,78,-0.008164276747070981,-0.01467268496599584,0.3839704704595794,0.3857532378915328,840464.45
2023->2024,MN,37,35,-0.023910575015869035,-0.02200415058010078,0.24261736677782697,0.25184565055838504,407793.20999999996
2023->2024,MS,38,37,0.000707904264117046,-0.00401296208493237,0.4452942844699234,0.4103099776712711,101540.12999999999
2023->2024,MO,32,32,-0.04457218935149239,-0.049486130531107085,0.579911546396218,0.579911546396218,287768.06
2023->2024,MT,19,19,-0.01162164845366964,-0.026525781356149317,0.5279023391874278,0.5279023391874278,24459.309999999994
2023->2024,NE,47,42,-0.03425932375451668,-0.038328103092573354,0.39152228249145077,0.43936160091839926,160537.12000000005
2023->2024,NV,150,149,-0.01494507624593195,-0.015183106020683087,0.3201282923694973,0.32542363313949063,598077.48
2023->2024,NH,34,33,-0.013782693667434079,-0.023374659167445192,0.590207037178495,0.5791415408575172,100108.78
2023->2024,NJ,221,218,-0.01671196717826744,-0.025912210685240893,0.35103776923176366,0.3486837252437607,2291047.25
2023->2024,NM,81,78,-0.019029528367608448,-0.023619402849970238,0.2739123498391244,0.2836216521249552,220017.22000000003
2023->2024,NY,401,390,0.007751876661849849,0.0007136284913898593,0.33322761485999725,0.32849205538795334,4574283.91
2023->2024,NC,129,118,-0.024370463486337854,-0.028429607919225813,0.283115393332196,0.2843542156619694,1067354.35
2023->2024,ND,21,20,0.004763502373432188,-0.013292488043926763,0.33288169716464283,0.3083699700708344,33090.99
2023->2024,OH,65,59,-0.028869372061117178,-0.03431921798011087,0.4795267234029674,0.44913640901980845,670687.6000000001
2023->2024,OK,51,47,-0.015600484025896713,-0.02463363517693543,0.3584736167690105,0.2928790077022188,261043.12
2023->2024,OR,82,82,-0.002010769862614203,-0.006944743496531782,0.35610525612742844,0.35610525612742844,418657.79000000004
2023->2024,PA,101,96,-0.011219932662134783,-0.012522170604111479,0.3508271619675676,0.3646210066140011,1106162.0
2023->2024,RI,68,66,0.03468083974606605,0.02865694948200881,0.3949424956230826,0.4063951893157073,161029.93
